Месяц	финансовый кризис: (Россия)	банк: (Россия)	курс доллара: (Россия)	евро: (Россия)	ЦБ: (Россия)	РТС: (Россия)	ММВБ: (Россия)	акция: (Россия)	ипотека: (Россия)	взять кредит: (Россия)	ПИФ: (Россия)	банкротство: (Россия)	залог: (Россия)	дефолт: (Россия)	девальвация: (Россия)
2009-05	10.0	58.0	6.0	9.0	21.0	21.0	58.0	46.0	30.0	19.0	10.0	18.0	31.0	10.0	5.0
2009-06	10.0	65.0	5.0	8.0	28.0	25.0	57.0	55.0	26.0	21.0	16.0	20.0	30.0	11.0	11.0
2009-07	3.0	69.0	5.0	8.0	29.0	18.0	56.0	41.0	31.0	43.0	4.0	12.0	21.0	4.0	11.0
2009-08	1.0	66.0	6.0	10.0	21.0	23.0	49.0	33.0	24.0	45.0	7.0	15.0	32.0	16.0	22.0
2009-09	2.0	61.0	4.0	9.0	22.0	23.0	60.0	45.0	40.0	35.0	17.0	16.0	38.0	7.0	9.0
2009-10	3.0	65.0	5.0	8.0	23.0	20.0	44.0	51.0	32.0	26.0	9.0	16.0	32.0	15.0	5.0
2009-11	3.0	65.0	4.0	8.0	16.0	21.0	43.0	40.0	31.0	21.0	12.0	29.0	46.0	5.0	3.0
2009-12	4.0	64.0	5.0	10.0	25.0	23.0	38.0	41.0	31.0	17.0	15.0	12.0	36.0	5.0	13.0
2010-01	0.0	58.0	3.0	5.0	14.0	15.0	33.0	43.0	33.0	24.0	15.0	11.0	36.0	6.0	5.0
2010-02	2.0	61.0	3.0	8.0	22.0	20.0	29.0	30.0	45.0	32.0	9.0	10.0	34.0	8.0	2.0
2010-03	4.0	62.0	3.0	9.0	21.0	23.0	34.0	47.0	35.0	25.0	9.0	17.0	39.0	4.0	4.0
2010-04	7.0	72.0	4.0	9.0	19.0	31.0	30.0	56.0	35.0	31.0	15.0	13.0	37.0	6.0	2.0
2010-05	6.0	64.0	4.0	13.0	24.0	16.0	46.0	56.0	43.0	18.0	9.0	24.0	36.0	8.0	7.0
2010-06	3.0	76.0	5.0	11.0	21.0	26.0	41.0	45.0	45.0	27.0	0.0	8.0	37.0	3.0	2.0
2010-07	1.0	74.0	4.0	13.0	24.0	16.0	24.0	56.0	52.0	49.0	4.0	15.0	40.0	5.0	2.0
2010-08	0.0	73.0	4.0	10.0	17.0	14.0	24.0	44.0	37.0	14.0	16.0	16.0	38.0	5.0	5.0
2010-09	2.0	73.0	5.0	11.0	20.0	19.0	31.0	45.0	57.0	19.0	16.0	17.0	36.0	1.0	8.0
2010-10	1.0	71.0	3.0	9.0	20.0	22.0	19.0	45.0	34.0	43.0	7.0	14.0	39.0	4.0	8.0
2010-11	2.0	71.0	4.0	9.0	23.0	15.0	36.0	51.0	36.0	47.0	16.0	17.0	36.0	4.0	7.0
2010-12	3.0	69.0	3.0	8.0	17.0	25.0	45.0	69.0	29.0	27.0	9.0	11.0	43.0	4.0	5.0
2011-01	1.0	58.0	3.0	8.0	12.0	14.0	26.0	38.0	31.0	38.0	9.0	11.0	25.0	4.0	2.0
2011-02	2.0	62.0	4.0	8.0	13.0	14.0	24.0	48.0	44.0	38.0	14.0	9.0	35.0	4.0	2.0
2011-03	1.0	65.0	4.0	10.0	17.0	14.0	25.0	52.0	42.0	46.0	15.0	14.0	29.0	5.0	6.0
2011-04	3.0	67.0	4.0	10.0	14.0	20.0	24.0	62.0	41.0	49.0	12.0	11.0	45.0	6.0	7.0
2011-05	2.0	64.0	5.0	10.0	14.0	19.0	21.0	75.0	38.0	48.0	9.0	10.0	42.0	15.0	18.0
2011-06	2.0	70.0	6.0	10.0	13.0	15.0	24.0	66.0	30.0	48.0	8.0	9.0	37.0	10.0	11.0
2011-07	1.0	74.0	6.0	11.0	12.0	18.0	22.0	68.0	35.0	63.0	6.0	9.0	43.0	73.0	26.0
2011-08	1.0	76.0	9.0	13.0	18.0	25.0	40.0	82.0	39.0	44.0	8.0	7.0	29.0	29.0	7.0
2011-09	4.0	73.0	8.0	12.0	16.0	24.0	35.0	65.0	38.0	55.0	9.0	10.0	28.0	20.0	10.0
2011-10	2.0	71.0	8.0	13.0	16.0	17.0	32.0	65.0	45.0	48.0	6.0	10.0	46.0	21.0	10.0
2011-11	2.0	69.0	7.0	11.0	13.0	16.0	31.0	63.0	48.0	59.0	5.0	9.0	42.0	15.0	8.0
2011-12	2.0	69.0	6.0	11.0	13.0	18.0	25.0	73.0	35.0	60.0	6.0	8.0	38.0	8.0	8.0
2012-01	1.0	61.0	6.0	9.0	11.0	11.0	23.0	35.0	41.0	57.0	5.0	10.0	33.0	12.0	7.0
2012-02	2.0	68.0	7.0	10.0	12.0	14.0	19.0	48.0	43.0	45.0	6.0	11.0	32.0	14.0	7.0
2012-03	2.0	69.0	5.0	10.0	13.0	14.0	20.0	51.0	37.0	63.0	8.0	10.0	39.0	9.0	5.0
2012-04	2.0	68.0	4.0	11.0	12.0	14.0	18.0	60.0	34.0	60.0	5.0	8.0	37.0	5.0	4.0
2012-05	1.0	70.0	6.0	16.0	13.0	16.0	21.0	62.0	40.0	63.0	6.0	13.0	39.0	7.0	6.0
2012-06	2.0	71.0	9.0	100.0	16.0	15.0	28.0	61.0	36.0	73.0	4.0	10.0	36.0	9.0	8.0
2012-07	3.0	74.0	7.0	27.0	16.0	11.0	17.0	73.0	37.0	64.0	7.0	7.0	41.0	8.0	7.0
2012-08	1.0	76.0	6.0	16.0	14.0	17.0	18.0	70.0	40.0	75.0	5.0	6.0	33.0	4.0	3.0
2012-09	1.0	74.0	6.0	14.0	13.0	16.0	21.0	64.0	35.0	66.0	6.0	9.0	35.0	5.0	1.0
2012-10	1.0	72.0	5.0	11.0	13.0	12.0	16.0	53.0	41.0	65.0	5.0	7.0	37.0	6.0	4.0
2012-11	1.0	74.0	4.0	9.0	12.0	13.0	13.0	52.0	33.0	74.0	7.0	9.0	38.0	4.0	5.0
2012-12	1.0	73.0	4.0	9.0	10.0	16.0	13.0	54.0	28.0	57.0	4.0	7.0	36.0	8.0	9.0
2013-01	1.0	66.0	4.0	9.0	9.0	11.0	10.0	42.0	40.0	58.0	5.0	6.0	28.0	4.0	7.0
2013-02	1.0	72.0	4.0	8.0	9.0	9.0	14.0	44.0	35.0	60.0	5.0	9.0	32.0	4.0	7.0
2013-03	1.0	72.0	4.0	9.0	10.0	12.0	12.0	48.0	39.0	63.0	5.0	7.0	37.0	5.0	5.0
2013-04	0.0	76.0	4.0	11.0	13.0	11.0	14.0	50.0	42.0	63.0	6.0	7.0	37.0	3.0	8.0
2013-05	1.0	72.0	4.0	10.0	11.0	10.0	14.0	65.0	35.0	63.0	3.0	7.0	35.0	4.0	4.0
2013-06	0.0	77.0	6.0	13.0	13.0	13.0	14.0	61.0	33.0	65.0	5.0	5.0	36.0	6.0	21.0
2013-07	1.0	83.0	7.0	13.0	13.0	14.0	14.0	58.0	39.0	66.0	5.0	6.0	30.0	8.0	13.0
2013-08	0.0	80.0	6.0	13.0	13.0	10.0	11.0	51.0	38.0	71.0	6.0	5.0	25.0	11.0	9.0
2013-09	1.0	75.0	6.0	11.0	13.0	12.0	12.0	53.0	36.0	61.0	5.0	5.0	39.0	9.0	4.0
2013-10	1.0	77.0	6.0	10.0	13.0	11.0	12.0	61.0	35.0	65.0	4.0	7.0	37.0	33.0	7.0
2013-11	1.0	83.0	5.0	10.0	15.0	11.0	12.0	67.0	36.0	72.0	3.0	8.0	34.0	9.0	9.0
2013-12	1.0	87.0	5.0	11.0	16.0	11.0	13.0	74.0	30.0	66.0	4.0	8.0	31.0	11.0	7.0
2014-01	0.0	68.0	8.0	13.0	17.0	13.0	11.0	47.0	41.0	61.0	4.0	4.0	29.0	17.0	13.0
2014-02	1.0	72.0	11.0	16.0	19.0	10.0	13.0	50.0	41.0	74.0	6.0	7.0	37.0	24.0	29.0
2014-03	1.0	79.0	13.0	18.0	24.0	20.0	32.0	50.0	38.0	77.0	6.0	6.0	40.0	13.0	9.0
2014-04	1.0	77.0	9.0	13.0	20.0	14.0	16.0	51.0	38.0	79.0	4.0	7.0	41.0	6.0	5.0
2014-05	1.0	77.0	8.0	14.0	18.0	12.0	13.0	63.0	39.0	80.0	4.0	6.0	43.0	5.0	3.0
2014-06	1.0	76.0	7.0	15.0	18.0	14.0	13.0	55.0	39.0	71.0	5.0	5.0	38.0	5.0	2.0
2014-07	0.0	78.0	8.0	15.0	17.0	16.0	10.0	61.0	43.0	82.0	4.0	6.0	35.0	6.0	2.0
2014-08	0.0	76.0	9.0	14.0	16.0	14.0	12.0	65.0	41.0	66.0	3.0	9.0	35.0	6.0	2.0
2014-09	1.0	77.0	11.0	14.0	20.0	12.0	14.0	62.0	39.0	73.0	3.0	8.0	34.0	5.0	3.0
2014-10	1.0	72.0	14.0	16.0	24.0	14.0	15.0	54.0	39.0	67.0	4.0	6.0	40.0	7.0	7.0
2014-11	0.0	78.0	35.0	27.0	37.0	12.0	26.0	63.0	43.0	64.0	6.0	8.0	43.0	16.0	14.0
2014-12	1.0	100.0	93.0	76.0	100.0	20.0	61.0	70.0	48.0	66.0	8.0	10.0	41.0	100.0	45.0
2015-01	0.0	67.0	47.0	28.0	41.0	8.0	26.0	42.0	38.0	59.0	6.0	8.0	38.0	26.0	9.0
2015-02	0.0	69.0	37.0	20.0	34.0	12.0	25.0	51.0	37.0	70.0	6.0	7.0	41.0	12.0	8.0
2015-03	1.0	70.0	32.0	22.0	33.0	10.0	19.0	51.0	46.0	67.0	4.0	11.0	41.0	6.0	3.0
2015-04	1.0	72.0	43.0	26.0	40.0	11.0	22.0	59.0	38.0	68.0	5.0	10.0	43.0	6.0	6.0
2015-05	1.0	66.0	26.0	18.0	26.0	12.0	13.0	62.0	34.0	66.0	4.0	7.0	41.0	9.0	4.0
2015-06	0.0	73.0	27.0	22.0	30.0	11.0	13.0	74.0	40.0	79.0	6.0	11.0	44.0	20.0	3.0
2015-07	0.0	79.0	24.0	22.0	29.0	13.0	14.0	53.0	40.0	79.0	5.0	8.0	32.0	12.0	1.0
2015-08	1.0	76.0	44.0	31.0	39.0	11.0	20.0	54.0	41.0	79.0	4.0	7.0	38.0	11.0	19.0
2015-09	0.0	69.0	29.0	23.0	28.0	11.0	13.0	58.0	39.0	65.0	5.0	10.0	45.0	7.0	5.0
2015-10	0.0	70.0	25.0	19.0	27.0	11.0	12.0	55.0	36.0	62.0	6.0	19.0	46.0	9.0	4.0
2015-11	0.0	68.0	20.0	16.0	22.0	11.0	12.0	72.0	33.0	69.0	4.0	12.0	41.0	7.0	6.0
2015-12	0.0	73.0	25.0	19.0	27.0	11.0	14.0	83.0	32.0	77.0	5.0	11.0	49.0	20.0	6.0
2016-01	1.0	59.0	40.0	22.0	29.0	8.0	18.0	55.0	40.0	70.0	6.0	10.0	52.0	19.0	12.0
2016-02	0.0	65.0	27.0	18.0	26.0	9.0	16.0	54.0	50.0	73.0	4.0	11.0	61.0	4.0	12.0
2016-03	0.0	64.0	28.0	18.0	25.0	10.0	14.0	57.0	40.0	80.0	5.0	12.0	62.0	4.0	6.0
2016-04	0.0	67.0	22.0	17.0	23.0	11.0	13.0	68.0	39.0	88.0	5.0	13.0	64.0	4.0	4.0
2016-05	0.0	64.0	18.0	18.0	19.0	10.0	10.0	67.0	33.0	73.0	4.0	12.0	66.0	4.0	3.0
2016-06	0.0	69.0	18.0	84.0	21.0	11.0	9.0	62.0	36.0	86.0	4.0	8.0	48.0	3.0	3.0
2016-07	0.0	69.0	16.0	49.0	18.0	8.0	9.0	57.0	43.0	76.0	7.0	7.0	40.0	3.0	3.0
2016-08	0.0	70.0	16.0	19.0	18.0	9.0	11.0	56.0	41.0	71.0	4.0	9.0	36.0	4.0	2.0
2016-09	0.0	65.0	13.0	15.0	17.0	9.0	11.0	58.0	35.0	77.0	4.0	9.0	48.0	3.0	3.0
2016-10	0.0	68.0	13.0	16.0	18.0	10.0	8.0	65.0	39.0	76.0	5.0	10.0	54.0	3.0	4.0
2016-11	1.0	66.0	16.0	16.0	19.0	11.0	11.0	76.0	39.0	71.0	5.0	12.0	54.0	7.0	4.0
2016-12	0.0	71.0	16.0	16.0	20.0	9.0	11.0	77.0	34.0	77.0	5.0	11.0	73.0	5.0	4.0
2017-01	0.0	61.0	16.0	16.0	14.0	9.0	10.0	54.0	44.0	84.0	5.0	9.0	54.0	4.0	12.0
2017-02	0.0	65.0	17.0	16.0	17.0	9.0	9.0	54.0	47.0	84.0	5.0	12.0	65.0	4.0	19.0
2017-03	1.0	67.0	15.0	17.0	19.0	12.0	9.0	62.0	45.0	89.0	5.0	12.0	74.0	4.0	4.0
2017-04	0.0	67.0	15.0	17.0	18.0	10.0	10.0	67.0	43.0	87.0	5.0	11.0	69.0	4.0	3.0
2017-05	1.0	70.0	14.0	17.0	18.0	10.0	9.0	77.0	41.0	99.0	5.0	10.0	65.0	6.0	5.0
2017-06	0.0	74.0	16.0	20.0	19.0	11.0	10.0	70.0	49.0	93.0	5.0	10.0	65.0	5.0	4.0
2017-07	0.0	80.0	15.0	22.0	20.0	11.0	9.0	79.0	51.0	98.0	4.0	11.0	53.0	4.0	3.0
2017-08	0.0	82.0	14.0	20.0	19.0	12.0	8.0	77.0	69.0	94.0	4.0	10.0	55.0	4.0	2.0
2017-09	0.0	76.0	13.0	17.0	19.0	11.0	9.0	68.0	58.0	82.0	4.0	11.0	67.0	5.0	4.0
2017-10	0.0	71.0	11.0	16.0	19.0	11.0	8.0	67.0	63.0	78.0	5.0	12.0	58.0	3.0	4.0
2017-11	1.0	72.0	13.0	16.0	19.0	12.0	8.0	83.0	68.0	74.0	6.0	12.0	64.0	6.0	2.0
2017-12	0.0	76.0	12.0	15.0	19.0	13.0	8.0	100.0	56.0	79.0	6.0	9.0	59.0	4.0	3.0
2018-01	0.0	64.0	14.0	15.0	14.0	10.0	8.0	64.0	76.0	72.0	5.0	9.0	50.0	4.0	5.0
2018-02	0.0	67.0	14.0	17.0	18.0	10.0	9.0	63.0	62.0	76.0	6.0	9.0	54.0	4.0	5.0
2018-03	0.0	68.0	13.0	16.0	17.0	13.0	8.0	73.0	61.0	86.0	5.0	11.0	50.0	4.0	3.0
2018-04	0.0	76.0	33.0	32.0	26.0	17.0	12.0	68.0	53.0	84.0	5.0	11.0	62.0	7.0	5.0
2018-05	1.0	68.0	18.0	20.0	21.0	14.0	9.0	82.0	55.0	95.0	5.0	10.0	59.0	7.0	3.0
2018-06	0.0	71.0	15.0	21.0	18.0	13.0	8.0	79.0	53.0	79.0	4.0	10.0	54.0	5.0	4.0
2018-07	0.0	78.0	15.0	23.0	19.0	14.0	7.0	68.0	56.0	87.0	6.0	9.0	46.0	10.0	2.0
2018-08	0.0	77.0	30.0	28.0	28.0	16.0	8.0	64.0	62.0	81.0	4.0	10.0	47.0	10.0	3.0
2018-09	0.0	69.0	25.0	23.0	21.0	13.0	8.0	64.0	58.0	75.0	4.0	10.0	51.0	8.0	4.0
2018-10	0.0	71.0	17.0	19.0	17.0	12.0	8.0	73.0	55.0	85.0	6.0	11.0	56.0	5.0	3.0
2018-11	0.0	70.0	17.0	18.0	17.0	16.0	8.0	76.0	56.0	82.0	4.0	10.0	63.0	6.0	5.0
2018-12	1.0	71.0	16.0	19.0	17.0	15.0	9.0	94.0	41.0	81.0	3.0	10.0	62.0	7.0	5.0
2019-01	0.0	64.0	18.0	20.0	15.0	13.0	7.0	65.0	61.0	87.0	4.0	10.0	57.0	4.0	4.0
2019-02	0.0	67.0	15.0	20.0	17.0	15.0	6.0	64.0	59.0	89.0	3.0	11.0	71.0	7.0	4.0
2019-03	0.0	72.0	14.0	23.0	16.0	16.0	6.0	67.0	55.0	99.0	5.0	12.0	74.0	4.0	3.0
2019-04	0.0	70.0	14.0	20.0	16.0	17.0	6.0	71.0	51.0	100.0	6.0	10.0	76.0	7.0	3.0
2019-05	0.0	70.0	14.0	19.0	14.0	15.0	6.0	72.0	50.0	99.0	5.0	11.0	69.0	8.0	5.0
2019-06	0.0	76.0	15.0	24.0	16.0	15.0	6.0	77.0	51.0	92.0	4.0	11.0	67.0	5.0	5.0
2019-07	0.0	78.0	14.0	23.0	16.0	16.0	5.0	65.0	61.0	89.0	4.0	12.0	59.0	4.0	2.0
2019-08	0.0	79.0	19.0	26.0	16.0	21.0	6.0	78.0	63.0	96.0	5.0	11.0	70.0	6.0	3.0
2019-09	0.0	74.0	17.0	26.0	17.0	18.0	7.0	74.0	63.0	89.0	4.0	14.0	86.0	7.0	3.0
2019-10	1.0	72.0	14.0	23.0	16.0	22.0	6.0	68.0	61.0	85.0	4.0	14.0	72.0	6.0	4.0
2019-11	0.0	75.0	12.0	21.0	15.0	19.0	8.0	79.0	64.0	84.0	4.0	13.0	67.0	5.0	5.0
2019-12	0.0	77.0	13.0	19.0	16.0	21.0	6.0	83.0	55.0	82.0	6.0	13.0	69.0	6.0	5.0
2020-01	0.0	68.0	16.0	22.0	14.0	17.0	7.0	67.0	86.0	87.0	5.0	12.0	65.0	6.0	5.0
2020-02	0.0	69.0	18.0	24.0	19.0	24.0	8.0	73.0	84.0	83.0	6.0	15.0	82.0	5.0	8.0
2020-03	1.0	83.0	100.0	58.0	40.0	33.0	20.0	66.0	79.0	97.0	9.0	15.0	74.0	29.0	21.0
2020-04	1.0	63.0	47.0	22.0	21.0	25.0	11.0	54.0	73.0	81.0	4.0	16.0	68.0	27.0	11.0
2020-05	0.0	61.0	28.0	18.0	16.0	22.0	6.0	69.0	91.0	73.0	4.0	13.0	66.0	12.0	11.0
2020-06	0.0	70.0	29.0	19.0	20.0	25.0	7.0	70.0	100.0	87.0	5.0	15.0	66.0	8.0	7.0
2020-07	0.0	74.0	25.0	22.0	19.0	24.0	7.0	60.0	93.0	81.0	6.0	14.0	66.0	16.0	29.0
2020-08	0.0	72.0	28.0	27.0	20.0	22.0	6.0	69.0	95.0	75.0	6.0	16.0	62.0	13.0	28.0
2020-09	0.0	72.0	32.0	28.0	19.0	24.0	7.0	64.0	83.0	75.0	5.0	19.0	72.0	10.0	14.0
2020-10	0.0	71.0	31.0	24.0	18.0	24.0	5.0	66.0	80.0	82.0	5.0	19.0	73.0	10.0	18.0
2020-11	0.0	72.0	37.0	25.0	19.0	24.0	7.0	76.0	74.0	74.0	6.0	18.0	76.0	12.0	20.0
2020-12	1.0	72.0	31.0	23.0	18.0	26.0	8.0	84.0	68.0	72.0	6.0	16.0	95.0	7.0	9.0
